startNode,endNode
100000009,300000005
100000036,300000001
100000026,300000000
100000047,300000006
100000009,300000008
100000029,300000002
100000006,300000006
100000013,300000000
100000035,300000005
100000011,300000006
100000048,300000002
100000031,300000001
100000017,300000003
100000026,300000003
100000002,300000002
100000001,300000009
100000017,300000003
100000021,300000004
100000012,300000000
100000049,300000003
100000001,300000009
100000045,300000009
100000004,300000002
100000030,300000007
100000029,300000006
100000033,300000002
100000011,300000008
100000046,300000005
