startNode,endNode
100000046,300000006
100000012,300000004
100000021,300000009
100000003,300000004
100000024,300000008
100000022,300000000
100000026,300000004
100000032,300000003
100000047,300000000
100000020,300000007
100000045,300000006
100000031,300000001
100000014,300000006
100000015,300000007
100000007,300000009
100000046,300000005
100000006,300000003
100000017,300000002
100000044,300000005
100000049,300000005
100000023,300000005
100000039,300000000
100000013,300000001
100000007,300000001
100000034,300000001
