stratNode,endNode
100000021,500000000
100000007,500000001
100000012,500000000
100000009,500000001
100000033,500000000
100000008,500000001
100000034,500000001
100000026,500000001
100000026,500000001
100000040,500000001
100000040,500000001
100000004,500000001
100000042,500000001
100000015,500000000
100000001,500000000
100000035,500000001
100000042,500000000
100000007,500000000
100000015,500000000
100000013,500000001
100000035,500000001
100000016,500000000
100000013,500000000
100000005,500000001
100000047,500000001
100000013,500000001
100000008,500000001
100000049,500000000
100000045,500000000
100000001,500000000
100000042,500000001
100000048,500000000
100000013,500000001
100000040,500000001
100000047,500000000
100000020,500000000
100000036,500000001
100000036,500000001
100000024,500000001
100000010,500000000
