idNode,name,description,link,timeGet
300000000,﻿ Tết nguyên đán , Là lễ hội lớn nhất trong năm của người Việt vào mùng 1 tháng 1 âm lịch,https://www.24h.com.vn/,Sun Dec 16 10:33:07 ICT 2018
300000001, Trung thu , Theo Âm lịch là ngày Rằm tháng 8 hằng năm đây đã trở thành ngày tết của trẻ em (Tết Thiếu nhi) còn được gọi là Tết trông Trăng hay Tết hoa đăng,vnexpress.net,Sun Dec 16 10:33:07 ICT 2018
300000002, Ra mắt Iphone X max , Đây là sự kiện Apple ra mắt điện thoại mẫu mới nhất trên thị trường,http://vietnamnet.vn/,Sun Dec 16 10:33:07 ICT 2018
300000003, Chụp kỷ yếu , Đây là hoạt động chụp ảnh lưu lại kỉ niệm của những học sinh cuối cấp,https://www.vietnamplus.vn/,Sun Dec 16 10:33:07 ICT 2018
300000004, Hội đua voi , Ngày hội đua voi là ngày vui lớn ở Tây Nguyên nó phản ánh tinh thần thượng võ của người M'nông một dân tộc giàu đức tính dũng cảm đã từng quen với tốc độ từng đối diện với bao tình huống hiểm nguy căng thẳng trong những cuộc săn bắt voi rừng,http://vietnamnet.vn/,Sun Dec 16 10:33:07 ICT 2018
300000005, AFF CUP 2018 , Đây là giải bóng đá giữa các đội tuyển bóng đá quốc gia Đông Nam Á do Liên đoàn bóng đá Đông Nam Á (AFF) tổ chức,https://vtc.vn/,Sun Dec 16 10:33:07 ICT 2018
300000006, Thi trình diễn pháo hoa lần thứ 8 , Đây là cuộc thi bắn pháo hóa được tổ trức thường xuyên giữa các nước trên thế giới do Uỷ ban nhân dân thành phố Đà Nẵng tổ chức ,tuoitre.vn,Sun Dec 16 10:33:07 ICT 2018
300000007, Giờ trái đất , Là một sự kiện quốc tế hằng năm do Quỹ Quốc tế Bảo vệ Thiên nhiên (World Wildlife Fund) khuyên các hộ gia đình và cơ sở kinh doanh tắt đèn điện và các thiết bị điện không ảnh hưởng lớn đến sinh hoạt trong một giờ đồng hồ vào lúc 8h30 đến 9h30 tối (giờ địa phương) ngày thứ bảy cuối cùng của tháng ba hàng năm,https://www.24h.com.vn/,Sun Dec 16 10:33:07 ICT 2018
300000008, Bách Khoa ngày trở về , Là sự kiện được tổ trức bởi trường Đại học Bách Khoa với mong muốn kết nối các thế hệ sinh viên để chia sẻ hợp tác và hỗ trợ cùng phát triển phát huy những giá trị truyền thống BÁCH KHOA,vnexpress.net,Sun Dec 16 10:33:07 ICT 2018
300000009, Ra mắt Bphone 3 , Là sự kiện ra mắt mẫu điện thoại mới nhất của hãng BKAV với nhiều tính năng vượt trội,https://dantri.com.vn/,Sun Dec 16 10:33:07 ICT 2018
