:START_ID(Person), :END_ID(Organization)
100000068,200000001
100000006,200000000
100000010,200000001
100000065,200000004
100000024,200000004
100000048,200000000
100000000,200000000
100000007,200000001
100000068,200000001
100000018,200000000
100000004,200000000
100000006,200000004
100000003,200000000
100000035,200000004
100000062,200000003
100000060,200000003
100000054,200000001
100000039,200000002
100000008,200000000
100000001,200000000
100000050,200000004
100000023,200000003
100000049,200000003
100000060,200000003
100000052,200000001
100000068,200000000
100000009,200000001
100000007,200000004
100000057,200000002
100000056,200000003
100000046,200000001
100000065,200000003
100000062,200000000
100000031,200000001
100000054,200000001
100000006,200000002
100000050,200000004
100000012,200000004
100000054,200000000
100000013,200000003
100000007,200000000
100000021,200000000
100000035,200000004
100000024,200000002
100000011,200000002
100000033,200000004
100000010,200000003
100000049,200000004
100000038,200000004
100000022,200000002
100000004,200000000
100000006,200000001
100000003,200000000
100000060,200000001
100000003,200000001
100000017,200000002
100000032,200000004
100000019,200000004
100000062,200000001
100000055,200000004
