:START_ID(Organization),:END_ID(Location)
200000008,600000002
200000007,600000000
200000008,600000004
200000007,600000004
200000001,600000000
200000004,600000002
200000002,600000004
200000006,600000000
200000007,600000000
200000006,600000003
200000002,600000002
200000004,600000002
200000009,600000002
200000006,600000002
200000009,600000004
200000000,600000000
200000008,600000002
200000009,600000003
200000001,600000002
200000009,600000002
200000008,600000001
200000000,600000002
200000009,600000001
200000006,600000000
200000002,600000001
200000000,600000001
200000007,600000001
200000006,600000004
200000009,600000002
200000008,600000004
